Gender,Ethnicity,Age,Condition,Manipulation,Magnitude,Choice,Justification
Male,Caucasian,22,1,1,1,500.0,
Male,Caucasian,23,1,1,1,30.0,
Male,Asian American,18,1,1,1,50.0,
Female,Caucasian,21,2,2,1,50.0,"Money isn't really a big issue, however we do need to pay bills. If the choice is between getting 20 tomorrow that won't get you more than a hair tie these days, and more in a month, i'll take the month."
Female,Caucasian,23,2,2,1,21.0,I would be happy waiting 1 month for any interest greater than a dollar. I do not need 20 dollars so badly right now so I would like to see it earn some easy and fast interest.
Male,Caucasian,35,2,2,1,30.0,I would have to say at least 10 more dollars since its just a month. You couldn't make that much in interest anywhere. Beside getting 20 now or 30 later would not make or break me.
Female,African American,45,2,2,1,60.0,The money would have to be tripled to make me wait a month to get it. I do not feel it is worth it otherwise.
Male,Caucasian,37,2,2,1,50.0,Need greatly increased compensation for the delayed gratification of the immediate $20 -- enough to make a notable difference in what I'm able to purchase with the prize.
Female,Caucasian,47,2,2,1,21.0,$1.00 is 5% interest. You cannot get 5% interest anywhere!
Female,Caucasian,23,2,2,1,30.0,I would want the money now so it would take a good deal of money more for me to wait. My reasons are that I could easily get the money now so I'm doing someone else a favor by not taking it right away.
Female,Caucasian,18,2,2,1,100.0,"I would feel better to wait for the reward because it would feel more rewarding in that way. I wouldn't mind waiting for at least $100 or more, not some insane amount."
Female,Caucasian,54,2,2,1,60.0,"I would probably take the $20.00 now.  For me to wait 1 month to get the money, I would probably require it to triple.  One of the reasons I would take the money now is that I would worry for the whole month that something would happen and I would not get any money at all.  Many things can change in a month, and a sure thing now is better than worrying about it for a month."
Male,Caucasian,23,2,2,1,25.0,Any amount over 20 would be reasonable as long as it was above inflation plus a little bit to cover potential gains on 20 that I could make in a month.
Male,Caucasian,23,2,2,1,21.0,"I'm patient, so waiting would not be an issue at all for me."
Female,Caucasian,24,2,2,1,40.0,"It would have to be at least double that amount, because it is just $20, which I could make just by taking enough surveys online. "
Male,Caucasian,26,2,2,1,30.0,I'd need 10 bucks more to make me wait. This would cancel out inflation and give me the incentive. 
Male,Caucasian,21,2,2,1,40.0,"I would wait 1 month for 100% increase in winnings, this would seem fair to me."
Male,Caucasian,27,2,2,1,100.0,"I would require about 80 more to wait. It wouldnt be worth it for me to wait otherwise. 20 would be nice to have now, but I would certainly wait a bit longer for 100."
Female,Asian American,28,2,2,1,30.0,"I don't need $20 right as this moment, so I will be patient to get a bigger reward to wait. However, wait for a month will increase my risk than I may get nothing in return. To override the risk, I demand 50% rise for the risk I am going to take. "
Male,Caucasian,19,2,2,1,50.0,"While $20 is a nice amount of money to get, it is not worth it to wait 1 month to receive that much when I would make more by working in that time. The extra money has to be more significant in order to wait longer."
Female,Caucasian,51,2,2,1,22.0,"I would be okay with waiting another month if it meant more money.  $20 isn't that much so a month won't make much of a difference.  However, I would need at least an extra 10% to compensate for the need to remember to collect."
Male,Caucasian,25,2,2,1,25.0,"I am not in need of the 20 dollars now, so I have no problem waiting. Of course if there must be some incentive, but it doesn't have to be much."
Male,Caucasian,26,2,2,1,21.0,"Any additional money over the 20 would be worth waiting for, even if just a single dollar. Money is money, and it pays bills."
Male,Caucasian,26,2,2,1,21.0,"Twenty dollars is not very much money. I could live without it for a month, so even a small increase would be worth it for me."
Male,Caucasian,21,2,2,1,22.0,"I would have to factor in the time value of money, which would be equal to the best alternative I could get for that amount by foregoing consumption for one month. This is likely equal to the interest rate of my savings account."
Female,Caucasian,21,2,2,1,100.0,"$20 right now would not do me a whole lot of good. I'd probably squander it on something I don't really need rather than save it. If the amount were $100 in one month, I'd definitely wait. Something about the number being 3 digits registers with me that I should put some away for saving, while $20 makes me think that I'll be able to get a few more restaurant meals this week. / Saving money has become a top priority for me recently, so I'd definitely wait to get not only more money, but money that I readily view as needing to be put into a savings account."
Male,Caucasian,33,2,2,1,22.0,"I really don't need the money now, so anything more that I got in a month would be worth waiting for."
Male,Caucasian,23,2,2,1,60.0,I would require 60 dollars. Considering the amount of the time I've spent I've spend waiting. 
Male,Caucasian,25,2,2,1,21.0,"Any amount over $1.00 would be ideal, because the ROI would be much greater than if I had just accepted the $20 then and invested it myself. The stock market averages 8% returns and waiting for $1 would be about 8.75% ROI. This is also greater than any CD, Bond, or savings rate you can find these days and an 8% market is over the long term. A month is too volitale. So a gaurenteed $1 would be worth it. (Not factoring inflation)"
Male,Caucasian,18,2,2,1,35.0,"If I was to receive more than only 20 dollars in one month just for waiting, sure, I would go ahead and wait. Of course I would want it to feel like it was worth waiting for. If it was something like only 1 dollar more then I would just take the 20 dollars at that moment."
Male,Caucasian,22,2,2,1,45.0,"I would require about 45$ to make waiting as attractive as getting the 20$ up front. My reasoning behind this is that if I would have to wait for the money, I'd prefer to use it on long term items. Where as if I where to get the 20$ up front, I would use it on more short term items such as food."
Male,Caucasian,20,2,2,1,40.0,"Anything greater-or-equal than would be okay by me! I don't have (m)any financial obligations at this point, so why not be surprised with next moon's mail? In some ways, I question why I simply don't ask for $0. (This isn't what you wanted, I'm sorry.)"
Male,Hispanic,22,2,2,1,60.0,I would wait a month if they were offering $60. I don't need $20 that bad right NOW. So I wouldn't mind waiting.
Female,Caucasian,22,2,2,1,30.0,"I would be willing to wait for more money, especially because I had already won."
Male,Hispanic,19,2,2,1,40.0,I would wait for any amount greater than $20. Its a greater amount and im in no hurry to get an extra 20 dollars.
Male,Caucasian,19,2,2,1,25.0,"I would want at least $5 more than $20, so $25. I don't need $20 that badly, so $5 is a reasonable amount for waiting a month for money I never had in the first place."
Male,Caucasian,25,2,2,1,21.0,"I would only want $1 more, since that would be a lot more than the interest I could earn through a savings account."
Male,Caucasian,26,2,2,1,50.0,"If I were to need to wait one whoel month in order to receive a larger payment, it would require a significant increase in prize money.  I would need at least $50 in order to be kept waiting that long."
Female,Caucasian,59,2,2,1,25.0,I would not require much more than $20 because a month is not that long to wait. 
Male,Caucasian,26,2,2,1,21.0,$20 isn't that much. I wouldn't mind waiting a month to receive any reward.
Male,Caucasian,59,2,2,1,25.0,A 20% increase would get me to wait.  The amount of money is low so I would not look at it for less.
Female,Caucasian,23,2,2,1,40.0,I would llike to recieve 40 dollars in a month. I can wait for more money. 20 dollars isn't enough
Male,Caucasian,50,2,2,1,21.0,"Current (risk free) interest rates are quite close to zero.  So provided the credit risk is low, one does not need much incentive to wait on the money.  I have sufficient savings that I have no immediate need for the money, so only a slight kicker is necessary for me to wait."
Female,Caucasian,40,2,2,1,100.0,I would want to receive at least $100 in a month. Otherwise I would take the $20 now because a month would be too long to wait since anything might happen before the month is up.
Male,Caucasian,53,2,2,1,22.0,"I would accept $22 if I had to wait a month.I realize $2 difference is not much,but neither is $20.I always try to save money that comes about unexpectedly,so gaining 10% in a month is a nice interest rate."
Male,Caucasian,33,2,2,1,50.0,"It would be have to be much more. at least twice as much, I would rather have the money now. "
Female,Caucasian,28,2,2,1,25.0,"I would require $25.  I am looking to save up money, so even a little bit more would be a good incentive to wait.  "
Female,Caucasian,29,2,2,1,50.0,"It would need to be at least 50 dollars for me to want to wait. Every penny is crucial to my survival now. I worry about ""in a month"" in a month, so I would rather have the money now. If it was more than 50 it would start to become worth waiting for. "
Female,Caucasian,33,2,2,1,25.0,I think I would need to make at least $25 to wait a month to get it.  That seems about right to me.
Male,Caucasian,32,2,2,1,30.0,"I would need significantly more to wait a month, because $20 would be very useful for me to have right now.  "
Male,Caucasian,19,2,2,1,25.0,"I have no immediate need for the money, so I wouldn't mind waiting a month regardless of the extra money earned. Anything less than $5, however, and the return isn't significant enough to warrant waiting an extra month."
Male,Caucasian,41,2,2,1,25.0,I would be willing to wait a month in order to get an extra $5.  That is better than any interest I would get if I put it in the bank.  
Male,Caucasian,29,2,2,1,21.0,I would opt to receive more in one month if I would receive $21 for this choice.  Since I do not need money urgently right now I feel that It is worth waiting to receive more money later even if it is a small amount.
Female,Caucasian,24,2,2,1,40.0,I would wait one more month it the money was at least doubled and I got an extra 20. The main reason I would not want to wait if it were to be less would be the convience factor.
Male,Asian American,20,2,2,1,35.0,"I'd wait one month for a total of around ~$35. I find this increase makes it worth the wait when dealing with such tiny amounts of money. The difference is high enough to make it worth it, anything less just isn't worth the time."
Male,Caucasian,26,2,2,1,30.0,"For $20, I really could care less about jumping through hoops to get paid.  A lottery that small should be cash in hand."
Male,Caucasian,24,2,2,1,25.0,"I would wait for an extra $5, as it is just as small enough amount for me to not miss it after a month."
Female,Caucasian,65,2,2,1,25.0,Twenty dollars is not much and a month is not very long to wait for five dollars more.
Male,Caucasian,23,2,2,1,22.0,"I don't have a need for instant gratification, so I'd be willing to wait a month for almost the same amount of money."
Female,Caucasian,23,2,2,1,50.0,"I think at least $50 would convince me to wait 1 month. I would choose this over the $20 because the $20 would just be spent on frivolous things, but I would forget about the $50 and then save it when it came to me."
Male,Caucasian,48,2,2,1,50.0,50 bucks / Because although 20 is not a lot of money.  I could use that money now more than I could in the future.
Male,Caucasian,26,2,2,1,30.0,"50% more, because $10 goes further, but does not have a large time downside."
Female,Caucasian,22,2,2,1,40.0,"I'm not a very patient person, and every little bit of money helps me. I would be eager to get the $20 but if I was going to receive a higher amount I may be willing to wait a month. I would take no less than twice the amount, but ideally I would receive at least $50 for waiting a month."
Female,Caucasian,23,2,2,1,25.0,"I would wait up to a month if it meant that I was getting 5 dollars more. I don't really need the money now, so it would be a nice bonus to get that and a little more a month later."
Male,Caucasian,23,2,2,1,45.0,"I think I would wait as I'm not pressured for money right now, so if it was a decent return i wouldn't mind waiting. If it is an insignificant amount though, i'd probably just take the money now and have a nice dinner."
Female,Caucasian,19,2,2,1,40.0,"I would need at least double the money in order to wait for an extra month. $40 should be a fair amount and anything higher than that would be even better. If I was told that I would receive less in a month, I would not choose the later option."
Male,Caucasian,39,2,2,1,50.0,"$50. Winning this small of an amount would not make a big difference in my life right now, so waiting a few extra weeks would be worth the extra $30. "
Male,Asian American,29,2,2,1,40.0,20 dollars is not that much so I would be willing to wait if in a month the amount was doubled.
Male,Caucasian,27,2,2,1,200.0,"I would require about $200 more to wait a month. I could use the money immediatly, but in order for me to wait I would want a much larger sum to wait a month. "
Male,Asian American,21,2,2,1,30.0,"At least $30 because I currently need the money right now. For it to be of use to me, I may be able to get someone to spot me the $20 and pay them back later and still make $10 for being inconvenienced."
Male,Caucasian,20,2,2,1,200.0,"It would need to be a substantial amount in order for me to not take the 20 dollars now. Twenty dollars is a good amount and I could do a lot with it at the moment, but with a lot more money, I could do a lot more in a month. "
Male,Caucasian,61,2,2,1,21.0,"At this level of payment, I can wait a month even for just an extra dollar.  To me, $20 is not a lot of money.  It wouldn't matter to me if I got that amount or not."
Female,Caucasian,44,2,2,1,40.0,I would wait a month for 40.00.  It would be double the original reward.  I could really use the 40.00
Male,Caucasian,34,2,2,1,40.0,"I would need 40$. To require me to wait 1 month longer, I should recive twice as much money for my inconvienience."
Female,Caucasian,57,2,2,1,40.0,I think that if you have to wait a month that the prize should be doubled. Anything less than $40 would not be worth the wait. The incentive for wating should be attractive to the winner. 
Female,Caucasian,24,2,2,1,25.0,"I would take as little as $25 a month later because it's still a significant amount of interest to earn for waiting such as short period of time. If for some reason it fell through I would just accept that the money wasn't something that I earned in the first place, it was won by chance."
Female,Asian American,43,2,2,1,30.0,I would like to have $20 now than later. It would prefer to receive $30 if I had to wait for a month.  
Male,Caucasian,26,2,2,1,25.0,"I'm a pretty patient person, so I don't mind waiting longer for more. I'm not in such dire need of $20 that I couldn't do without it for a month."
Male,Asian American,22,2,2,1,21.0,"I can make a few percent return in a month with some consistency so as long as the future value is greater than the principal plus my opportunity cost, it makes sense. Also, I'm not in need of money."
Female,African American,21,2,2,1,40.0,Well if I wasn't in a rush for the money I most likely would take more in a month. If I was given the money immediately I would easily blow it. Having a month will give me time to think and most likely forget about it.
Female,Caucasian,25,2,2,1,21.0,I would choose to wait in order to obtain more money. $20 is not very much and it is not like I would be missing it. 
Female,Asian American,24,2,2,1,100.0,Because it is 5 times more than the original amount
Male,Caucasian,23,2,2,1,25.0,I would need it to barely increase more than my interest in my bank account
Female,Caucasian,29,2,2,1,30.0,"A month isn't very long, so it wouldn't take very much money to entice me to wait in order to receive a bit more."
Female,Caucasian,47,2,2,1,25.0,I would wait the one month for 25 dollars.  I don't really need the money so waiting is not a problem and getting it RIGHT NOW would not really help.
Female,Asian American,21,2,2,1,30.0,Any difference of less than $10 seems rather trivial to wait a month to receive. 
Male,Caucasian,26,2,2,1,50.0,free money means less then money earned thus 20 dollars free money now is worth more the 30 or 40 dollars later. That is why it would need to be more then double for it to pay off in the layman eyes.
Female,Caucasian,42,2,2,1,40.0,Doubling the money to $40 or more would be worth waiting a month since that would be an incredible rate of return.
Male,Hispanic,22,2,2,1,100.0,if i won the raffle i would go with the one month waiting because i would want to receive more. I would want to receive 100 for the one month waiting.
Male,Hispanic,27,2,2,1,40.0,40 dollars.  Because It is a large enough value to tide my anxiety.
Female,Caucasian,66,2,2,1,40.0,"If I did not need the money immediately I would wait 1 month in order to receive a larger payment. If you look long term, typically you come out ahead."
Male,Caucasian,21,2,2,1,25.0,It would depend on how much. An amount today is worth less down the road. 
Male,Caucasian,26,2,2,1,75.0,"I would choose to receive a larger amount a month later. If I received a larger amount, I would likely be able to save it or spend it, and get a larger reward as a result (whether an item or money). "
Female,Caucasian,29,2,2,1,40.0,"$20 isn't a lot, so I wouldn't miss it if I didn't get it today. That being said, $20 isn't that much, so it would have to be a LOT MORE for me to wait a month to get it. Like double the amount of the original prize, so $40."
Female,Caucasian,18,2,2,1,100.0,Waiting for it makes it seem more rewarding.
Male,Caucasian,53,2,2,1,50.0,"With the current rate of inflation and the value of the dollar, I would have to consider taking the $20 now.  "
Female,Caucasian,24,2,2,1,50.0,It would have to be at least twice more but I don't like to have to wait to collect on money.
Male,Asian American,21,2,2,1,30.0,I would wait a month for any amount more than $20 because i do not need it right away.
Female,African American,57,2,2,1,30.0,"I would wait if it was a lot more than $20 but if it was a few dollars, I would like it now. I figure if I had to wait it had to be a much larger amount."
Female,Caucasian,28,2,2,1,200.0,"At least $200. I have needs for the money now. If the reward varies from at the moment highly, then I can call creditors and tell them I will expect minimum payments and more."
Female,Caucasian,60,2,2,1,23.0,I would consider the amount of interest I could earn compounded monthy.  I would also take in consideration how much a twenty dollar investment in the stock market would net me.
Male,Caucasian,35,2,2,1,40.0,1. Time value of money--now is better / 2. It would have to be significantly more to wait. / 3. How could I be sure that I would get more money later?
Female,Caucasian,30,2,2,1,40.0,"That way I would double my money, sort of like getting 100 percent interest.  The payout would give me something to look forward to, and it would be a decent amount of money.  If I did not take the $20 now, I would worry, I wouldn't get the payout, but waiting for the 40 would be worth it."
Female,Caucasian,23,2,2,1,21.0,"I would most likely wait 1 month, unless there was some unforeseen major expense that I needed the money for immediately. It makes sense to me to wait a month then, for any amount (1 dollar or) more above $20, because before the raffle I did not have the $20 anyway, so what's waiting one more month (to get more)?"
Male,Caucasian,22,2,2,1,40.0,There is a time factor when talking about money. I would rather have 20 dollars now than 30 dollars in 30 days. However if they are willing to give me double in 30 days I will wait because I dont need twenty dollars that much. 
Female,Caucasian,26,2,2,1,30.0,"In one month, anything $10 or more would be worth me waiting the additional month. $20 isnt a whole lot so I could wait for it with the option of adding to it. "
Male,Caucasian,39,2,2,1,40.0,"The majority of items worth purchasing reuire an investment of at least $20.  I would hav elittle need for an extra $5 or $10, but $20 would permit more in the way of purchases."
Male,Caucasian,34,2,2,1,21.0,Any value > 20...$20 immediately is not enough money to satisfy any need or want. /  / 
Female,Caucasian,58,2,2,1,25.0,If I knew I had a chance to get more money I would wait because at this time $20.00 is not that big of a deal to me. It would be a interesting month wondering how much more I would get!
Female,Caucasian,20,2,2,1,100.0,"I would require $100. This sounds greedy, but it is also not too extreme."
Female,Caucasian,34,2,2,1,30.0,I would wait for a month to receive more money.  I figure I started with nothing anyways so I wouldn't miss it.  
Male,Caucasian,41,2,2,1,120.0,"I can earn 20 or 60 dollars easily myself, I can wait for a good amount like $100. I think if banks paid higher interest they would help their customers acheive more property and credit. I would wait 2 months for $150."
Male,Other,47,2,2,1,21.0,"It doesn't make any difference when I receive the money, there was nothing stated I needed to pay any bills.  So, $1 additional would be fine.  "
Female,Caucasian,36,2,2,1,30.0,I do not need $20 right now so I would be willing to wait in order to receive more money at a later date.
Female,African American,41,2,2,1,100.0,"Twenty dollars may not seem like a lot of money to some, but to a person who is struggling financially twenty dollars would be appreciated.  I would gladly take $20 now if I were to win it in a raffle because I am in need of that and much more, but would be willing to wait 1 month for a greater amount.  Now since I'm willing to wait to get my reward, I could only consider this option if the amount I'd receive later would be well worth the wait."
Female,Caucasian,21,3,1,2,55.0,
Male,Caucasian,28,3,1,2,150.0,
Male,Caucasian,27,3,1,2,100.0,
Female,Caucasian,37,3,1,2,100.0,
Female,Caucasian,25,3,1,2,100.0,
Male,Asian American,25,3,1,2,100.0,
Male,Caucasian,49,3,1,2,75.0,
Female,Caucasian,55,3,1,2,55.0,
Female,Caucasian,20,3,1,2,500.0,
Female,African American,20,3,1,2,100.0,
Male,Caucasian,51,3,1,2,200.0,
Male,Caucasian,27,3,1,2,110.0,
Male,African American,28,3,1,2,250.0,
Male,Caucasian,22,3,1,2,500.0,
Female,Caucasian,25,3,1,2,250.0,
Male,Caucasian,27,3,1,2,150.0,
Male,Caucasian,30,3,1,2,75.0,
Male,Caucasian,26,3,1,2,100.0,
Male,Caucasian,24,3,1,2,150.0,
Male,Caucasian,28,3,1,2,75.0,
Female,Caucasian,56,3,1,2,100.0,
Male,Caucasian,33,3,1,2,100.0,
Female,Hispanic,25,3,1,2,150.0,
Female,Caucasian,43,3,1,2,100.0,
Female,Asian American,41,3,1,2,60.0,
Male,Caucasian,53,3,1,2,250.0,
Female,Caucasian,24,3,1,2,500.0,
Male,Caucasian,18,3,1,2,75.0,
Male,Caucasian,35,3,1,2,75.0,
Male,Caucasian,37,3,1,2,75.0,
Male,Caucasian,33,3,1,2,65.0,
Female,Caucasian,29,3,1,2,90.0,
Male,Caucasian,68,3,1,2,55.0,
Female,Caucasian,41,3,1,2,200.0,
Female,Caucasian,35,3,1,2,55.0,
Female,Caucasian,27,3,1,2,100.0,
Male,Caucasian,49,3,1,2,100.0,
Male,Caucasian,42,3,1,2,100.0,
Male,Caucasian,44,3,1,2,200.0,
Female,Caucasian,27,3,1,2,60.0,
Female,Caucasian,36,3,1,2,100.0,
Female,Caucasian,22,3,1,2,200.0,
Female,Caucasian,30,3,1,2,75.0,
Male,Caucasian,41,3,1,2,300.0,
Male,Asian American,26,3,1,2,100.0,
Male,Caucasian,20,3,1,2,100.0,
Female,Asian American,18,3,1,2,100.0,
Male,Caucasian,23,3,1,2,100.0,
Male,Caucasian,25,3,1,2,1000.0,
Male,Caucasian,23,3,1,2,100.0,
Male,Caucasian,32,3,1,2,100.0,
Male,Caucasian,29,3,1,2,350.0,
Male,Caucasian,33,3,1,2,60.0,
Female,Caucasian,42,3,1,2,150.0,
Female,Caucasian,24,3,1,2,70.0,
Female,Caucasian,29,3,1,2,75.0,
Male,Hispanic,24,3,1,2,75.0,
Female,Caucasian,36,3,1,2,100.0,
Male,Caucasian,24,3,1,2,500.0,
Female,Caucasian,54,3,1,2,150.0,
Female,Caucasian,29,3,1,2,150.0,
Male,Caucasian,25,3,1,2,100.0,
Male,Caucasian,25,3,1,2,200.0,
Male,Asian American,37,3,1,2,80.0,
Male,Other,29,3,1,2,100.0,
Female,Native American,22,3,1,2,150.0,
Male,Caucasian,36,3,1,2,100.0,
Male,Caucasian,18,3,1,2,200.0,
Female,Asian American,21,3,1,2,300.0,
Female,Caucasian,52,3,1,2,150.0,
Male,Asian American,28,3,1,2,100.0,
Male,Caucasian,34,3,1,2,85.0,
Male,Caucasian,28,3,1,2,100.0,
Female,African American,40,3,1,2,100.0,
Female,Caucasian,28,3,1,2,75.0,
Male,Caucasian,18,3,1,2,100.0,
Female,Caucasian,43,3,1,2,100.0,
Male,African American,24,3,1,2,100.0,
Male,Caucasian,34,3,1,2,200.0,
Female,Caucasian,28,3,1,2,100.0,
Male,Caucasian,37,3,1,2,100.0,
Male,Caucasian,20,3,1,2,100.0,
Female,Caucasian,31,3,1,2,100.0,
Male,Hispanic,35,3,1,2,300.0,
Male,Caucasian,43,3,1,2,55.0,
Female,Caucasian,31,3,1,2,100.0,
Female,Caucasian,47,3,1,2,75.0,
Male,Caucasian,32,3,1,2,51.0,
Male,Caucasian,30,3,1,2,100.0,
Female,Caucasian,26,3,1,2,75.0,
Male,Caucasian,45,3,1,2,200.0,
Male,Caucasian,24,3,1,2,74.0,
Male,Caucasian,18,3,1,2,150.0,
Female,Caucasian,36,3,1,2,75.0,
Male,Hispanic,20,3,1,2,3000.0,
Male,Asian American,24,3,1,2,75.0,
Male,Caucasian,26,3,1,2,200.0,
Male,Caucasian,19,3,1,2,80.0,
Female,Caucasian,21,3,1,2,200.0,
Male,Caucasian,31,3,1,2,60.0,
